DATE,YEAR,MONTH,DAY,SITE,TRANSECT,DISTANCE (m),SIDE,SUBSTRTE,OBSERVER,NOTES,ENTERED BY,CHECKED BY,SP_CODE_0,SP_CODE_1,SP_CODE_2,SP_CODE_3,SP_CODE_4,SP_CODE_5
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,4,ON,R,"Jenn, Kristen",NA,Kristen,NA,CHCR,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,8,OFF,R,"Jenn, Kristen",NA,Kristen,NA,UFR,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,10,ON,R,"Jenn, Kristen",NA,Kristen,NA,HJ,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,12,OFF,R,"Jenn, Kristen",NA,Kristen,NA,CHCR,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,14,OFF,R,"Jenn, Kristen",NA,Kristen,NA,HJ,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,14,ON,S,"Jenn, Kristen",NA,Kristen,NA,PORO,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,16,OFF,R,"Jenn, Kristen",NA,Kristen,NA,HJ,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,18,OFF,R,"Jenn, Kristen",NESP=Neosiphonia spp.,Kristen,NA,NESP,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,18,ON,R,"Jenn, Kristen",NA,Kristen,NA,HJ,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,20,OFF,R,"Jenn, Kristen",NA,Kristen,NA,NESP,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,22,OFF,R,"Jenn, Kristen",COOF= Corallina officinalis,Kristen,NA,COOF,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,22,ON,R,"Jenn, Kristen",NA,Kristen,NA,UV,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,24,ON,R,"Jenn, Kristen",NA,Kristen,NA,PORO,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,26,OFF,R,"Jenn, Kristen",NA,Kristen,NA,HJ,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,28,ON,R,"Jenn, Kristen",NA,Kristen,NA,HJ,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,30,OFF,R,"Jenn, Kristen",NA,Kristen,NA,NESP,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,2,2,OFF,R,"Jenn, Kristen",NA,Kristen,NA,CF,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,2,6,OFF,R,"Jenn, Kristen",NA,Kristen,NA,HJ,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,2,8,OFF,R,"Jenn, Kristen",NA,Kristen,NA,HJ,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,2,8,ON,R,"Jenn, Kristen",NA,Kristen,NA,PAPA,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,2,10,OFF,R,"Jenn, Kristen",NA,Kristen,NA,CHCR,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,2,12,OFF,R,"Jenn, Kristen",NA,Kristen,NA,CF,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,2,14,OFF,R,"Jenn, Kristen",NA,Kristen,NA,HJ,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,2,14,ON,S,"Jenn, Kristen",NA,Kristen,NA,PORO,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,2,16,OFF,R,"Jenn, Kristen",NA,Kristen,NA,NESP,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,2,18,OFF,R,"Jenn, Kristen",NA,Kristen,NA,CF/NESP,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,2,20,OFF,R,"Jenn, Kristen",NA,Kristen,NA,CF/NESP,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,2,22,ON,R,"Jenn, Kristen",NA,Kristen,NA,HJ,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,2,28,ON,R,"Jenn, Kristen",NA,Kristen,NA,SL,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,2,30,OFF,R,"Jenn, Kristen",NA,Kristen,NA,DUCO,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,3,6,OFF,R,"Jenn, Kristen",NA,Kristen,NA,SL,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,3,8,OFF,R,"Jenn, Kristen",NA,Kristen,NA,EC,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,3,8,ON,R,"Jenn, Kristen",NA,Kristen,NA,SL,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,3,10,OFF,R,"Jenn, Kristen",NA,Kristen,NA,CF,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,3,10,ON,R,"Jenn, Kristen",NA,Kristen,NA,HJ,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,3,12,ON,R,"Jenn, Kristen",NA,Kristen,NA,CHCR,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,3,14,OFF,R,"Jenn, Kristen",NA,Kristen,NA,CF/HJ,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,3,14,ON,R,"Jenn, Kristen",NA,Kristen,NA,DEAC,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,3,16,OFF,R,"Jenn, Kristen",NA,Kristen,NA,HJ,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,3,16,ON,R,"Jenn, Kristen",COOF= Corallina officinalis,Kristen,NA,HJ/COOF,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,3,18,OFF,R,"Jenn, Kristen",NA,Kristen,NA,NESP,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,3,18,ON,R,"Jenn, Kristen",NA,Kristen,NA,HESA/CHCR,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,3,20,OFF,R,"Jenn, Kristen",NA,Kristen,NA,HJ,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,3,20,ON,R,"Jenn, Kristen",COOF= Corallina officinalis,Kristen,NA,COOF,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,3,22,OFF,R,"Jenn, Kristen",NA,Kristen,NA,CF,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,3,22,ON,R,"Jenn, Kristen",NA,Kristen,NA,CHCR,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,3,24,ON,R,"Jenn, Kristen",NA,Kristen,NA,HJ,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,3,26,OFF,R,"Jenn, Kristen",NA,Kristen,NA,EC,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,3,28,OFF,R,"Jenn, Kristen",NA,Kristen,NA,CF,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,3,30,ON,R,"Jenn, Kristen",NA,Kristen,NA,CHCR,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,4,2,ON,R,"Jenn, Kristen",NA,Kristen,NA,NESP,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,4,4,OFF,R,"Jenn, Kristen",NA,Kristen,NA,CHCR,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,4,8,OFF,R,"Jenn, Kristen",NA,Kristen,NA,AGCL,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,4,8,ON,R,"Jenn, Kristen",NA,Kristen,NA,NESP,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,4,10,OFF,R,"Jenn, Kristen",NA,Kristen,NA,NESP,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,4,10,ON,R,"Jenn, Kristen",NA,Kristen,NA,NESP,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,4,12,ON,R,"Jenn, Kristen",NA,Kristen,NA,HJ,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,4,14,OFF,R,"Jenn, Kristen",NA,Kristen,NA,HJ,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,4,16,OFF,R,"Jenn, Kristen",NA,Kristen,NA,EC,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,4,16,ON,R,"Jenn, Kristen",NA,Kristen,NA,CHCR,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,4,18,OFF,R,"Jenn, Kristen",NA,Kristen,NA,CYPU,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,4,22,ON,S,"Jenn, Kristen",NA,Kristen,NA,PORO,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,4,24,OFF,R,"Jenn, Kristen",COOF= Corallina officinalis,Kristen,NA,COOF,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,4,24,ON,R,"Jenn, Kristen",NA,Kristen,NA,AGCL,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,4,26,OFF,R,"Jenn, Kristen",NA,Kristen,NA,SL,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,4,26,ON,R,"Jenn, Kristen",NA,Kristen,NA,HJ/CHCR,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,4,28,OFF,R,"Jenn, Kristen",NA,Kristen,NA,NESP,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,4,30,OFF,R,"Jenn, Kristen",NA,Kristen,NA,NESP,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,4,30,ON,R,"Jenn, Kristen",NA,Kristen,NA,CHCR,,,,,
